Μάθημα,Ημέρα,Ώρα,Καθηγητής,Αίθουσα Διδασκαλίας
Εισαγωγή στα Πληροφοριακά Συστήματα,Τετάρτη,09:00-11:00,Παναγιώτης Κουρουθανάσης,Αμφιθέατρο 1
Δίκτυα Ι,Παρασκευή,09:00-11:00,Ελένη Χριστοπούλου,Εργαστήριο Γαληνός
Εισαγωγή στα Πληροφοριακά Συστήματα,Τρίτη,11:00-13:00,Άννια Σωτηροπούλου,Εργαστήριο Γαληνός
Αλγόριθμοι και Πολυπλοκότητα,Τετάρτη,11:00-13:00,Εμμανουήλ Μάγκος,Αίθουσα 3
Εισαγωγή στα Πληροφοριακά Συστήματα,Πέμπτη,11:00-13:00,Άντα Πατέλη,Αμφιθέατρο 1
Ασφάλεια Υπολογιστών και Προστασία Δεδομένων,Παρασκευή,11:00-13:00,Βασίλειος Χρυσικόπουλος,Αμφιθέατρο 1
Ασφάλεια Υπολογιστών και Προστασία Δεδομένων,Δευτέρα,13:00-15:00,Εμμανουήλ Μάγκος,Αμφιθέατρο 1
Θεωρία Υπολογισμού,Τετάρτη,13:00-15:00,Θεόδωρος Ανδρόνικος,Αίθουσα 2
Βασεις Δεδομένων Ι,Δευτέρα,15:00-17:00,Άννια Σωτηροπούλου,Εργαστήριο Γαληνός
Θεωρία Υπολογισμού,Τρίτη,15:00-17:00,Θεόδωρος Ανδρώνικος,Αίθουσα 2
Δίκτυα Ι,Παρασκευή,15:00-17:00,Κωνσταντίνος Οικονόμου,Αμφιθέατρο 1
Αλγόριθμοι και Πολυπλοκότητα,Τρίτη,17:00-19:00,Θεόδωρος Ανδρόνικος,Αίθουσα 3
Βασεις Δεδομένων ΙΙ,Τετάρτη,17:00-19:00,Δημήτριος Τσουμάκος,Αμφιθέατρο 1
Δίκτυα Ι,Πέμπτη,17:00-19:00,Κωνσταντίνος Οικονόμου,Αμφιθέατρο 1
Βάσεις Δεδομένων Ι,Τρίτη,19:00-21:00,Ιωάννης Καρύδης,Εργαστήριο Γαληνός